date_played,home_team,home_points,away_team,away_points,point_margin,home_srs,away_srs
2022-11-19,Los Angeles Clippers,119,San Antonio Spurs,97,22,-0.89,-9.12
2022-11-18,Washington Wizards,107,Miami Heat,106,1,-2.31,-1.78
2022-11-18,Cleveland Cavaliers,132,Charlotte Hornets,122,10,5.46,-6.74
2022-11-18,Philadelphia 76ers,110,Milwaukee Bucks,102,8,3.57,2.75
2022-11-18,Chicago Bulls,107,Orlando Magic,108,-1,-0.91,-2.56
2022-11-18,Houston Rockets,91,Indiana Pacers,99,-8,-5.06,-1.46
2022-11-18,Memphis Grizzlies,121,Oklahoma City Thunder,110,11,4.2,-0.92
2022-11-18,Dallas Mavericks,127,Denver Nuggets,99,28,2.45,1.05
2022-11-18,New Orleans Pelicans,109,Boston Celtics,117,-8,4.93,6.11
2022-11-18,Utah Jazz,134,Phoenix Suns,133,1,0.95,3.75
2022-11-18,Golden State Warriors,111,New York Knicks,101,10,-0.6,2.59
2022-11-18,Los Angeles Lakers,128,Detroit Pistons,121,7,-2.49,-6.57
2022-11-17,Portland Trailblazers,107,Brooklyn Nets,109,-2,0.08,3.35
2022-11-17,Sacramento Kings,130,San Antonio Spurs,112,18,1.49,-9.12
2022-11-17,Los Angeles Clippers,96,Detroit Pistons,91,5,-0.89,-6.57
2022-11-16,Charlotte Hornets,113,Indiana Pacers,125,-12,-6.74,-1.46
2022-11-16,Orlando Magic,108,Minnesota Timberwolves,126,-18,-2.56,-1.43
2022-11-16,Washington Wizards,120,Oklahoma City Thunder,121,-1,-2.31,-0.92
2022-11-16,Atlanta Hawks,101,Boston Celtics,126,-25,-0.43,6.11
2022-11-16,Toronto Raptors,112,Miami Heat,104,8,1.11,-1.78
2022-11-16,Milwaukee Bucks,113,Cleveland Cavaliers,98,15,2.75,5.46
2022-11-16,New Orleans Pelicans,124,Chicago Bulls,110,14,4.93,-0.91
2022-11-16,Dallas Mavericks,92,Houston Rockets,101,-9,2.45,-5.06
2022-11-16,Denver Nuggets,103,New York Knicks,106,-3,1.05,2.59
2022-11-16,Phoenix Suns,130,Golden State Warriors,119,11,3.75,-0.6
2022-11-15,New Orleans Pelicans,113,Memphis Grizzlies,102,11,4.93,4.2
2022-11-15,Dallas Mavericks,103,Los Angeles Clippers,101,2,2.45,-0.89
2022-11-15,Utah Jazz,111,New York Knicks,118,-7,0.95,2.59
2022-11-15,Portland Trailblazers,117,San Antonio Spurs,110,7,0.08,-9.12
2022-11-15,Sacramento Kings,153,Brooklyn Nets,121,32,1.49,3.35
2022-11-14,Detroit Pistons,111,Toronto Raptors,115,-4,-6.57,1.11
2022-11-14,Orlando Magic,105,Charlotte Hornets,112,-7,-2.56,-6.74
2022-11-14,Boston Celtics,126,Oklahoma City Thunder,122,4,6.11,-0.92
2022-11-14,Miami Heat,113,Phoenix Suns,112,1,-1.78,3.75
2022-11-14,Houston Rockets,106,Los Angeles Clippers,122,-16,-5.06,-0.89
2022-11-14,Milwaukee Bucks,106,Atlanta Hawks,121,-15,2.75,-0.43
2022-11-14,Golden State Warriors,132,San Antonio Spurs,95,37,-0.6,-9.12
2022-11-13,New York Knicks,135,Oklahoma City Thunder,145,-10,2.59,-0.92
2022-11-13,Cleveland Cavaliers,124,Minnesota Timberwolves,129,-5,5.46,-1.43
2022-11-13,Washington Wizards,102,Memphis Grizzlies,92,10,-2.31,4.2
2022-11-13,Philadelphia 76ers,105,Utah Jazz,98,7,3.57,0.95
2022-11-13,Chicago Bulls,103,Denver Nuggets,126,-23,-0.91,1.05
2022-11-13,Sacramento Kings,122,Golden State Warriors,115,7,1.49,-0.6
2022-11-13,Los Angeles Lakers,116,Brooklyn Nets,103,13,-2.49,3.35
2022-11-12,Los Angeles Clippers,95,Brooklyn Nets,110,-15,-0.89,3.35
2022-11-12,Washington Wizards,121,Utah Jazz,112,9,-2.31,0.95
2022-11-12,Detroit Pistons,108,Boston Celtics,117,-9,-6.57,6.11
2022-11-12,Indiana Pacers,118,Toronto Raptors,104,14,-1.46,1.11
2022-11-12,Philadelphia 76ers,121,Atlanta Hawks,109,12,3.57,-0.43
2022-11-12,Miami Heat,132,Charlotte Hornets,115,17,-1.78,-6.74
2022-11-12,Dallas Mavericks,117,Portland Trailblazers,112,5,2.45,0.08
2022-11-12,New Orleans Pelicans,119,Houston Rockets,106,13,4.93,-5.06
2022-11-11,Boston Celtics,131,Denver Nuggets,112,19,6.11,1.05
2022-11-11,Orlando Magic,114,Phoenix Suns,97,17,-2.56,3.75
2022-11-11,New York Knicks,121,Detroit Pistons,112,9,2.59,-6.57
2022-11-11,Oklahoma City Thunder,132,Toronto Raptors,113,19,-0.92,1.11
2022-11-11,San Antonio Spurs,111,Milwaukee Bucks,93,18,-9.12,2.75
2022-11-11,Memphis Grizzlies,114,Minnesota Timberwolves,103,11,4.2,-1.43
2022-11-11,Golden State Warriors,106,Cleveland Cavaliers,101,5,-0.6,5.46
2022-11-11,Los Angeles Lakers,114,Sacramento Kings,120,-6,-2.49,1.49
2022-11-10,Washington Wizards,113,Dallas Mavericks,105,8,-2.31,2.45
2022-11-10,Atlanta Hawks,104,Philadelphia 76ers,95,9,-0.43,3.57
2022-11-10,Miami Heat,117,Charlotte Hornets,112,5,-1.78,-6.74
2022-11-10,New Orleans Pelicans,95,Portland Trailblazers,106,-11,4.93,0.08
2022-11-09,Orlando Magic,94,Dallas Mavericks,87,7,-2.56,2.45
2022-11-09,Charlotte Hornets,95,Portland Trailblazers,105,-10,-6.74,0.08
2022-11-09,Indiana Pacers,119,Denver Nuggets,122,-3,-1.46,1.05
2022-11-09,Atlanta Hawks,119,Utah Jazz,125,-6,-0.43,0.95
2022-11-09,Boston Celtics,128,Detroit Pistons,112,16,6.11,-6.57
2022-11-09,Brooklyn Nets,112,New York Knicks,85,27,3.35,2.59
2022-11-09,Toronto Raptors,116,Houston Rockets,109,7,1.11,-5.06
2022-11-09,Chicago Bulls,111,New Orleans Pelicans,115,-4,-0.91,4.93
2022-11-09,Minnesota Timberwolves,117,Phoenix Suns,129,-12,-1.43,3.75
2022-11-09,Oklahoma City Thunder,132,Milwaukee Bucks,136,-4,-0.92,2.75
2022-11-09,San Antonio Spurs,122,Memphis Grizzlies,124,-2,-9.12,4.2
2022-11-09,Los Angeles Clippers,114,Los Angeles Lakers,101,13,-0.89,-2.49
2022-11-09,Sacramento Kings,127,Cleveland Cavaliers,120,7,1.49,5.46
2022-11-07,Charlotte Hornets,100,Washington Wizards,108,-8,-6.74,-2.31
2022-11-07,Orlando Magic,127,Houston Rockets,134,-7,-2.56,-5.06
2022-11-07,Detroit Pistons,112,Oklahoma City Thunder,103,9,-6.57,-0.92
2022-11-07,Indiana Pacers,129,New Orleans Pelicans,122,7,-1.46,4.93
2022-11-07,Philadelphia 76ers,100,Phoenix Suns,88,12,3.57,3.75
2022-11-07,Atlanta Hawks,117,Milwaukee Bucks,98,19,-0.43,2.75
2022-11-07,Miami Heat,107,Portland Trailblazers,110,-3,-1.78,0.08
2022-11-07,Chicago Bulls,111,Toronto Raptors,97,14,-0.91,1.11
2022-11-07,Memphis Grizzlies,106,Boston Celtics,109,-3,4.2,6.11
2022-11-07,Minnesota Timberwolves,107,New York Knicks,120,-13,-1.43,2.59
2022-11-07,San Antonio Spurs,109,Denver Nuggets,115,-6,-9.12,1.05
2022-11-07,Dallas Mavericks,96,Brooklyn Nets,94,2,2.45,3.35
2022-11-07,Golden State Warriors,116,Sacramento Kings,113,3,-0.6,1.49
2022-11-07,Utah Jazz,139,Los Angeles Lakers,116,23,0.95,-2.49
